Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
Indonesia,West,2011,Well,9.06,6.96,1.94,4.07,21.78,19.26,3385,None,88.19,237,14,28,88.95,51718,6.23,43.69,34.83,2136,37.59,787
Bangladesh,North,2001,Pond,8.64,7.49,1.28,7.08,48.3,8.83,1579,Filtration,47.56,409,48,41,88.86,14634,15.88,22.87,48.44,432,23.01,14
India,East,2002,River,6.74,6.17,2.0,7.22,9.76,5.36,3371,None,62.24,129,21,75,55.05,80375,17.33,17.73,94.84,944,20.46,552
Nigeria,South,2017,River,2.15,6.64,4.04,4.36,1.7,1.2,1960,Boiling,41.26,233,16,61,13.99,31686,32.89,52.93,91.66,984,36.59,161
USA,East,2000,River,6.38,6.49,4.83,4.38,21.36,14.66,3844,Boiling,58.29,3,18,26,67.84,27313,83.13,58.22,96.25,964,15.22,276
Ethiopia,North,2019,Lake,5.06,6.04,3.18,9.93,28.88,12.35,4697,Filtration,31.08,479,8,28,15.51,55052,85.62,39.35,67.31,910,23.9,572
Bangladesh,West,2020,Spring,7.17,7.34,3.91,4.7,14.88,19.45,2390,Boiling,93.75,219,37,65,51.74,41522,37.5,58.53,60.1,1888,33.83,768
Pakistan,West,2005,Tap,8.33,7.4,2.66,8.87,27.09,14.24,1419,Chlorination,77.36,261,18,56,11.18,75241,43.13,41.57,87.91,1897,23.9,57
USA,North,2004,Lake,7.43,6.96,3.12,6.29,47.67,18.66,3917,Filtration,53.3,29,7,60,59.73,6633,21.7,79.45,26.37,2017,11.91,343
Ethiopia,South,2000,Lake,8.47,6.67,4.94,6.04,15.59,19.83,3835,Filtration,91.68,438,5,28,33.17,51641,43.25,86.31,98.28,2253,22.33,653
China,West,2018,Spring,0.64,7.63,2.19,5.06,15.47,8.57,4428,None,42.81,411,48,56,83.44,59746,27.48,57.48,56.99,1233,17.28,145
Mexico,Central,2000,Lake,0.32,6.34,0.33,8.42,24.14,3.01,4450,None,35.51,316,37,72,80.39,84224,17.49,77.38,74.06,1560,39.39,528
Brazil,West,2020,River,2.59,7.3,4.79,9.16,25.77,3.92,3630,Chlorination,95.98,76,44,54,99.85,69361,15.85,78.3,78.28,2890,2.04,492
Pakistan,Central,2020,River,9.01,7.92,3.97,4.83,0.07,6.37,4942,Chlorination,51.63,182,20,43,27.24,6473,77.56,67.1,70.31,2359,30.72,128
China,North,2015,Pond,8.24,6.41,1.99,3.67,30.79,10.18,162,None,95.52,365,28,27,8.06,55543,11.69,25.36,91.32,2327,0.96,297
Nigeria,North,2011,Well,6.83,7.88,4.91,3.96,49.87,2.45,115,None,74.63,291,33,36,45.41,72246,61.6,22.4,43.05,2700,24.16,351
China,West,2021,Lake,7.01,7.9,1.73,8.55,14.6,6.03,1470,Chlorination,98.6,457,11,22,10.17,17761,16.75,83.56,62.58,2295,17.24,287
Mexico,East,2007,Well,7.27,6.15,1.86,6.05,31.54,6.16,3079,None,82.74,201,38,76,19.49,82551,83.78,31.2,54.42,290,36.42,503
Nigeria,Central,2015,Tap,9.43,6.05,3.05,3.92,0.23,0.08,3852,Filtration,37.38,388,31,68,60.54,38435,27.45,29.71,76.33,1868,21.57,739
Pakistan,South,2000,River,8.32,8.43,1.37,5.38,30.22,7.08,2838,Chlorination,89.66,156,5,95,60.03,81950,4.49,23.29,51.61,895,33.09,636
Mexico,West,2003,Pond,6.23,6.48,3.49,6.6,22.35,2.32,542,None,40.35,99,16,91,6.25,93264,45.21,52.2,91.43,2323,26.89,173
India,South,2009,Tap,6.66,8.06,0.76,8.96,26.51,8.59,413,Boiling,78.45,395,31,57,45.4,1492,99.98,64.16,59.23,462,17.88,294
Brazil,West,2010,Pond,2.14,7.4,0.54,7.49,27.2,3.93,681,Boiling,65.03,121,7,78,53.96,39040,81.31,64.09,62.88,600,13.51,973
Pakistan,East,2016,Spring,6.57,6.66,2.67,4.23,8.85,16.44,641,Chlorination,79.54,405,37,87,28.27,89818,57.03,30.88,59.47,1457,4.68,232
India,East,2024,River,4.25,6.32,2.78,4.11,38.5,1.61,3978,Boiling,83.55,314,28,31,87.46,26835,18.94,17.58,69.81,1200,0.54,607
Ethiopia,East,2022,Tap,1.53,7.24,0.53,5.89,27.77,17.31,1432,Boiling,86.26,109,30,84,17.79,68632,11.75,34.82,60.83,415,0.06,710
Pakistan,East,2006,Spring,8.06,7.02,4.82,3.53,13.51,11.61,668,Filtration,88.45,166,18,68,26.88,93711,83.86,50.27,94.99,2194,9.04,386
Ethiopia,North,2011,Tap,5.1,7.75,2.87,8.29,46.87,9.17,2069,Chlorination,89.31,129,8,35,17.39,3449,78.77,59.0,30.49,1568,22.44,62
Nigeria,North,2020,Pond,9.77,8.26,0.76,5.81,0.64,10.99,968,Boiling,58.88,269,27,91,13.42,22225,46.22,31.65,21.07,1397,39.02,337
India,Central,2006,Spring,2.82,8.01,1.56,5.4,36.3,7.52,1180,None,92.25,137,47,31,88.14,30571,42.14,24.65,61.74,2284,28.21,350
Brazil,South,2011,Spring,4.81,6.69,4.0,6.56,19.06,2.55,4819,Chlorination,80.37,175,49,58,29.23,25977,74.87,77.33,81.17,1102,2.83,536
Mexico,West,2014,River,4.48,8.2,2.62,7.96,26.13,15.32,3235,Chlorination,88.73,63,38,59,72.81,53136,53.6,78.63,71.86,1752,25.81,648
Indonesia,West,2001,Well,1.21,8.08,0.94,6.99,14.58,18.56,251,Boiling,99.24,130,39,86,43.94,71626,40.42,32.4,97.02,2032,19.42,697
China,North,2013,Pond,4.26,8.32,0.51,8.62,16.06,19.0,4300,Boiling,38.15,327,30,79,64.32,40505,25.17,54.81,34.58,2567,25.45,127
USA,West,2012,Pond,2.88,7.15,2.15,7.41,0.76,13.41,2879,Filtration,55.94,187,18,73,92.96,78665,12.26,45.19,75.52,2074,24.93,191
Brazil,North,2003,Spring,1.6,7.92,1.69,8.52,36.49,8.21,3998,None,86.46,464,32,92,84.77,66101,59.48,21.36,85.27,2716,5.76,589
India,Central,2013,Spring,2.82,7.48,3.28,7.88,35.54,9.57,790,Filtration,36.04,451,25,26,8.76,13394,82.6,85.25,92.97,2292,36.78,499
Indonesia,South,2013,River,2.33,6.78,4.63,4.35,32.72,13.14,4560,Filtration,67.85,276,44,98,84.83,69800,74.62,10.78,62.28,1077,22.18,515
Brazil,Central,2015,Well,7.34,8.49,1.24,3.37,43.9,16.46,1495,None,90.09,349,0,23,46.28,19677,69.63,25.01,49.05,1103,28.03,334
India,East,2006,Pond,0.31,6.1,4.28,9.32,45.06,7.49,4489,Boiling,31.33,146,10,86,36.31,5977,92.89,37.65,96.43,2101,15.48,877
Bangladesh,East,2018,Lake,6.17,6.41,4.6,9.62,27.82,18.34,3068,Filtration,95.77,334,1,66,67.89,78681,39.45,78.52,83.32,1332,4.89,713
Bangladesh,East,2001,Lake,7.61,8.23,4.51,8.09,34.24,6.49,2707,Chlorination,98.47,19,34,35,95.12,67451,13.72,73.09,57.67,546,27.64,203
Ethiopia,Central,2009,Well,4.81,6.15,4.76,8.07,0.55,10.62,2577,Filtration,52.56,313,12,13,11.23,63149,10.19,56.39,72.09,1361,37.7,187
Brazil,West,2017,Tap,9.32,8.22,4.21,4.89,42.32,19.23,1235,None,83.68,41,38,67,77.27,38692,95.5,65.6,42.29,1161,23.25,977
Bangladesh,South,2016,River,7.08,7.79,2.97,6.8,40.82,18.76,1058,Filtration,38.9,349,33,43,21.94,6707,58.9,37.27,69.19,2574,7.95,568
India,East,2004,Well,7.48,6.09,2.05,9.95,1.01,13.91,1170,Filtration,84.1,393,33,47,39.25,8869,81.08,85.24,63.2,2761,24.93,973
Ethiopia,East,2011,Lake,1.97,7.07,2.46,8.99,27.14,6.49,3618,Chlorination,63.71,406,34,31,87.63,82654,53.56,12.14,23.14,2327,17.16,918
India,East,2005,Spring,7.77,7.89,4.36,5.13,45.33,4.38,3659,None,90.22,343,31,83,55.49,66797,39.85,18.07,89.26,1341,15.96,663
Ethiopia,South,2021,Lake,8.32,7.46,1.51,5.11,9.07,1.6,3655,Chlorination,44.88,139,44,16,8.61,87826,20.03,84.04,59.22,2509,36.54,18
Brazil,East,2008,Spring,3.61,8.34,0.8,6.39,17.63,14.17,56,Boiling,77.09,8,11,92,51.79,1782,85.64,85.6,58.38,1303,29.48,421
Indonesia,South,2019,River,2.13,8.17,0.7,5.83,16.55,10.07,1892,None,85.03,78,32,56,79.38,81862,6.35,49.25,42.67,800,20.35,943
Mexico,East,2000,Spring,3.85,6.83,4.13,5.6,17.8,11.45,2569,Filtration,44.17,412,17,38,53.83,18147,90.02,56.12,35.71,756,16.7,533
Pakistan,Central,2021,Well,7.4,6.21,3.81,7.39,2.09,9.45,4080,Chlorination,87.28,337,4,31,18.36,94186,20.5,82.2,43.31,2513,9.72,613
Indonesia,Central,2014,Spring,4.18,8.36,2.49,3.08,13.95,9.66,4456,Chlorination,97.06,147,18,67,45.61,88123,0.95,78.27,72.0,955,13.74,22
Nigeria,South,2020,Tap,7.37,7.29,1.37,8.34,14.74,11.43,1948,None,73.13,192,30,87,92.59,36881,10.39,78.96,27.81,592,21.62,286
India,Central,2005,Well,1.14,6.19,3.39,8.18,43.29,18.29,222,Chlorination,84.94,258,26,1,66.5,37714,88.35,39.74,46.63,2249,1.93,448
Nigeria,South,2018,River,8.06,8.04,0.19,8.81,17.61,0.59,1639,None,67.28,135,41,77,73.53,89529,7.37,76.44,98.3,2012,14.3,47
Indonesia,Central,2017,Well,2.53,8.17,2.84,8.89,22.36,16.03,4422,Boiling,71.87,38,37,41,79.02,69419,35.52,15.54,41.72,2743,19.76,829
Ethiopia,Central,2005,Tap,2.49,7.6,1.99,6.96,19.04,7.81,1757,None,30.93,319,49,37,10.89,85429,25.03,48.96,97.33,2985,24.33,803
Pakistan,South,2012,River,5.9,7.12,4.89,8.46,6.03,14.9,835,None,66.7,286,14,54,58.99,51274,3.69,28.99,28.38,2993,29.72,994
Pakistan,West,2000,Lake,0.7,7.66,2.54,6.45,49.52,18.97,2536,Boiling,70.29,366,45,54,38.84,27954,53.15,12.86,83.52,832,0.55,799
USA,Central,2022,Tap,0.26,7.77,2.76,9.66,41.29,6.13,2525,Boiling,76.9,455,47,33,15.64,529,99.83,59.38,55.18,1179,11.79,444
Pakistan,East,2022,River,2.61,8.23,3.56,4.33,27.05,1.79,984,Filtration,41.86,462,3,45,21.87,49960,85.3,16.09,35.59,734,10.44,765
Mexico,West,2012,Spring,5.38,8.39,2.42,9.41,23.82,4.65,1357,Chlorination,46.9,378,18,42,78.55,75737,16.89,19.61,82.99,2668,20.85,253
Pakistan,South,2006,Well,9.08,7.29,1.12,4.81,32.46,4.44,4887,Boiling,82.92,149,20,1,17.83,84513,88.43,16.54,20.56,1971,18.64,849
Indonesia,West,2014,River,8.46,8.0,2.69,3.72,16.32,14.84,3060,Boiling,41.73,351,39,35,32.62,53082,45.18,88.0,47.77,1771,3.2,558
USA,North,2011,Well,4.9,8.41,4.72,6.07,2.51,1.24,4477,Chlorination,59.12,4,0,69,29.92,83194,27.33,13.14,68.39,725,30.45,753
Indonesia,North,2000,Spring,0.37,6.38,2.05,7.3,20.22,1.02,1446,Chlorination,47.53,235,19,35,6.77,84018,64.03,31.58,38.48,2718,27.49,182
Indonesia,Central,2014,River,5.35,6.05,3.4,4.62,49.2,13.87,1371,Filtration,68.16,235,21,21,47.29,75682,21.67,62.16,46.6,1750,32.85,260
China,Central,2003,Lake,7.05,8.17,4.89,6.89,9.12,11.13,3224,Filtration,99.08,313,12,68,77.06,35871,87.97,75.87,27.32,956,4.44,641
USA,East,2012,Tap,3.39,6.49,4.15,8.66,26.39,8.36,1874,None,89.64,456,40,37,4.17,2980,62.42,58.66,88.26,490,20.25,351
Indonesia,West,2022,River,1.11,6.11,3.3,4.8,0.43,11.51,2499,Filtration,48.86,104,0,53,13.03,9538,13.6,88.12,53.77,1910,24.15,854
China,North,2024,Spring,2.79,6.4,3.68,7.06,6.1,14.7,3361,Boiling,55.8,206,14,21,72.58,25282,57.06,37.02,31.62,1515,1.96,942
China,Central,2004,River,7.72,6.96,4.68,5.38,29.36,2.07,1142,Boiling,94.3,238,14,74,60.17,63944,51.04,47.76,35.93,2006,38.38,23
USA,West,2001,Well,3.51,6.55,4.8,6.71,14.87,11.07,4309,Chlorination,92.88,318,13,30,72.09,60337,47.15,75.7,42.01,2880,31.78,283
Nigeria,Central,2022,Pond,8.12,6.76,4.84,7.67,45.28,16.49,564,Filtration,41.24,316,4,52,24.55,85550,36.5,64.54,38.36,2201,9.75,362
Ethiopia,Central,2000,River,3.2,8.44,3.13,5.45,20.31,7.25,4827,None,88.05,51,48,92,80.77,9921,47.42,27.13,60.26,1921,25.15,144
Mexico,North,2015,Lake,1.64,7.76,1.92,9.96,10.4,15.26,4534,None,50.83,107,5,58,49.03,49598,58.6,49.89,92.42,692,5.74,979
Ethiopia,North,2022,River,4.36,7.78,0.67,6.95,27.28,16.91,1588,None,68.07,356,40,96,61.81,88894,73.36,88.08,34.71,1638,34.93,709
Pakistan,Central,2005,Tap,4.52,6.24,1.93,8.77,39.75,16.42,3985,None,30.36,32,30,85,11.03,87111,91.79,79.04,56.28,1067,3.93,451
Mexico,South,2022,River,0.16,7.83,4.71,8.08,0.97,13.01,4724,Chlorination,99.9,21,25,48,22.09,23552,4.44,25.34,73.11,1972,36.16,999
Pakistan,Central,2015,Pond,1.17,7.85,4.45,8.97,25.28,14.35,4998,Filtration,83.28,306,24,26,77.79,68832,56.93,24.38,34.7,2065,33.11,388
Indonesia,Central,2013,Well,1.85,7.65,2.62,4.22,38.67,15.75,1470,Filtration,46.92,10,48,71,23.94,34395,75.2,76.27,32.32,661,19.13,576
India,East,2002,River,1.14,6.57,2.69,4.56,5.18,14.67,3914,Filtration,77.87,126,38,56,11.07,72538,11.56,25.91,32.43,695,26.1,811
USA,East,2014,Lake,3.42,7.06,1.54,6.41,45.14,9.03,3113,Filtration,50.53,441,39,5,60.53,46110,91.15,46.22,90.56,225,9.83,136
Mexico,East,2002,Spring,9.65,8.12,2.27,8.97,13.23,3.18,4490,None,36.26,49,14,45,55.7,1787,24.5,24.46,76.9,965,15.37,310
Mexico,South,2022,River,5.09,7.68,3.57,4.38,8.53,6.19,4342,None,59.77,197,5,24,61.57,87270,83.33,11.17,46.91,2277,8.7,780
Indonesia,South,2001,River,6.28,7.83,2.01,9.8,29.46,4.14,3362,Chlorination,72.96,16,0,97,62.59,25624,66.2,80.03,92.2,2643,21.1,945
Nigeria,Central,2000,Tap,3.56,7.47,0.94,3.89,8.75,7.23,1636,Chlorination,36.28,429,40,8,51.02,20829,55.95,72.32,96.28,2022,12.75,853
China,East,2008,Lake,3.23,7.12,2.7,4.23,33.99,9.79,2912,None,66.29,43,6,63,50.39,37197,86.92,47.65,51.86,1332,14.06,621
Indonesia,South,2008,Pond,0.23,7.9,1.13,4.17,24.51,19.18,1472,Boiling,66.04,184,3,99,92.57,59117,96.92,22.77,60.84,2102,17.71,830
Bangladesh,North,2022,Spring,5.0,6.17,4.87,7.1,5.5,19.19,1244,Filtration,74.01,388,0,30,54.32,63083,99.71,74.51,48.65,1049,34.9,168
China,Central,2006,Well,4.84,7.68,1.95,9.42,45.62,15.39,3737,Chlorination,47.13,38,40,18,62.5,25882,68.33,38.75,38.2,533,21.94,544
USA,West,2002,River,1.58,8.49,4.55,4.79,33.66,19.6,2098,None,31.44,441,1,64,28.16,67963,33.91,62.96,82.4,1627,32.26,209
China,Central,2017,Pond,7.64,7.95,1.13,6.87,27.3,19.96,2597,Filtration,52.74,495,47,87,87.37,93745,87.47,35.34,71.93,1665,33.94,74
Nigeria,West,2010,Spring,4.93,6.73,0.95,4.23,18.72,17.71,2512,Filtration,57.9,136,33,97,4.39,30405,65.43,44.58,49.35,1454,9.82,704
China,East,2006,Well,3.39,6.69,3.08,7.42,6.74,1.59,4514,None,74.5,476,34,16,56.61,90394,32.33,52.84,21.15,2395,31.11,748
USA,West,2008,Pond,1.47,7.67,3.9,3.86,35.38,8.52,258,Boiling,95.11,278,45,33,39.62,20865,93.24,70.96,81.09,771,25.95,632
Nigeria,East,2000,Lake,5.52,8.24,2.83,6.44,40.68,10.68,2358,Boiling,44.24,430,12,98,61.18,18629,74.77,76.57,58.19,1001,20.3,88
Ethiopia,North,2013,Lake,7.53,7.44,1.15,7.59,6.29,2.48,3393,Chlorination,78.11,163,16,35,37.3,29484,45.28,45.48,25.85,1388,3.55,766
Mexico,West,2019,Spring,2.82,7.32,0.19,7.05,24.73,16.17,3778,None,36.82,30,9,12,72.33,46858,45.45,28.64,29.96,394,22.89,101
Mexico,Central,2005,Well,2.19,6.4,3.09,3.98,24.24,2.97,3411,Chlorination,43.34,339,2,58,3.99,78711,99.59,22.29,70.27,682,6.22,149
Pakistan,East,2006,Lake,5.22,7.79,0.66,4.13,17.5,7.67,1268,Boiling,65.64,22,3,88,41.78,24990,37.37,37.26,63.71,326,32.65,10
Ethiopia,Central,2009,Spring,1.55,7.76,1.72,7.7,39.47,1.38,939,Chlorination,79.59,439,24,75,83.46,55934,9.41,74.14,39.24,424,37.38,276
Ethiopia,South,2006,Lake,6.67,8.42,3.38,8.66,4.98,10.49,2376,Chlorination,90.1,198,36,20,26.52,6471,53.86,31.92,31.19,2811,19.12,60
China,East,2001,Lake,6.05,6.75,0.49,9.36,10.25,11.94,3951,Boiling,82.07,173,42,64,7.17,18950,88.49,13.8,90.78,755,17.62,238
Mexico,West,2003,Pond,0.87,7.89,0.64,8.7,0.08,14.7,195,Filtration,31.07,57,37,5,50.66,15156,58.45,55.14,30.79,1821,19.55,378
USA,East,2020,Pond,0.37,7.09,0.31,9.82,18.65,6.79,4157,Filtration,77.88,419,28,10,97.7,41554,79.31,12.69,26.85,354,2.69,459
Brazil,Central,2016,Lake,6.2,7.4,4.98,5.86,14.56,11.81,3096,Boiling,87.73,195,0,79,8.29,98933,5.49,80.79,69.6,2285,9.48,566
Brazil,North,2000,Tap,2.94,8.04,1.94,5.32,43.35,14.68,3635,Filtration,66.79,87,29,21,8.87,7772,67.34,64.24,40.2,803,37.62,108
Nigeria,East,2009,Pond,0.86,6.55,4.53,3.2,37.29,15.24,561,None,97.59,443,38,10,60.32,40356,7.92,30.55,72.53,2260,13.8,502
Mexico,West,2018,Well,7.59,6.86,1.47,6.15,4.22,6.03,3449,Filtration,30.3,141,9,36,26.51,69304,55.64,47.53,59.13,2596,23.65,81
Mexico,South,2014,Spring,3.14,7.93,3.77,7.56,37.05,1.35,3366,Boiling,87.31,280,28,25,42.2,27029,49.78,69.14,36.9,2652,25.97,808
Brazil,North,2009,Spring,4.6,7.43,1.1,8.71,33.77,0.75,3123,None,53.44,454,43,56,83.39,34254,94.56,83.25,25.57,1009,35.09,606
Mexico,South,2018,Well,2.37,6.23,2.49,4.87,14.09,15.36,2891,Chlorination,75.53,206,31,25,21.49,36378,13.25,79.96,25.65,424,9.53,190
China,East,2011,Well,6.27,7.08,4.12,6.6,0.77,7.71,39,Boiling,78.54,171,43,20,72.49,20456,0.95,15.56,66.87,503,35.61,950
Bangladesh,Central,2023,Well,3.01,7.47,4.08,7.63,5.76,2.68,1767,Boiling,51.44,301,0,56,51.44,58660,13.74,16.49,80.66,419,15.67,844
India,Central,2015,Well,9.68,8.27,3.97,6.86,12.5,3.69,2504,Filtration,99.68,396,40,25,90.69,24182,17.07,57.82,75.17,2325,36.87,738
Ethiopia,West,2008,River,7.03,6.47,4.12,4.92,40.83,15.32,787,None,37.23,317,16,14,97.35,96909,25.09,49.72,67.43,2225,16.45,818
Pakistan,Central,2014,Spring,1.37,8.01,1.06,8.57,23.27,11.98,1876,Boiling,40.99,274,11,62,49.53,35868,81.51,33.43,36.87,477,4.16,165
Nigeria,North,2016,River,4.17,6.33,2.41,4.21,45.92,10.03,4097,None,92.45,395,1,34,59.3,48948,37.69,88.09,88.94,2220,2.08,967
Bangladesh,Central,2013,Lake,3.85,6.61,2.42,9.33,39.46,12.46,1492,None,38.34,367,8,10,75.09,35437,84.08,69.7,70.31,2217,38.69,869
Brazil,West,2017,Lake,5.34,6.61,4.45,9.67,14.36,2.75,1129,Filtration,56.69,345,11,72,33.23,18663,27.19,64.99,75.54,728,4.85,907
Ethiopia,East,2001,Spring,8.42,8.19,1.48,5.56,42.27,6.38,2263,Boiling,81.32,47,24,86,24.22,17640,86.05,24.51,37.91,1320,21.65,849
Mexico,East,2003,Lake,5.83,6.5,4.66,5.63,5.84,7.48,4872,None,85.4,160,35,67,96.54,34435,0.81,32.71,40.92,680,21.08,586
Pakistan,Central,2017,Well,0.62,7.97,2.25,8.2,1.81,6.29,4509,None,96.83,462,43,93,44.4,24237,93.45,58.4,92.6,878,16.05,926
Mexico,South,2006,River,6.55,7.15,3.35,6.19,30.43,17.29,4021,Chlorination,85.27,164,49,91,2.16,35862,74.6,73.65,58.09,1294,16.72,664
USA,East,2012,Well,0.08,8.5,1.34,3.2,17.09,11.63,4305,Filtration,89.12,389,34,88,84.1,87750,41.27,84.48,64.31,2182,19.03,960
USA,Central,2014,Lake,7.8,8.1,2.05,9.44,16.47,14.59,2185,Boiling,96.46,378,21,85,60.77,3604,57.73,65.82,28.86,2976,3.98,401
Pakistan,West,2024,Pond,6.67,7.85,3.55,6.02,34.36,4.73,1644,None,68.76,216,32,88,18.52,33673,93.3,43.49,51.57,2999,31.64,369
Pakistan,Central,2022,River,3.09,8.18,2.56,4.42,42.51,5.28,3560,Filtration,54.04,116,49,89,4.95,2911,58.26,65.29,90.96,1914,15.08,351
Brazil,East,2021,Well,2.92,7.59,4.65,6.89,16.11,4.51,2685,Boiling,83.31,336,20,49,30.57,28103,22.86,15.53,92.01,1381,9.78,752
Pakistan,West,2000,Spring,7.98,8.11,3.69,4.53,16.25,13.76,4821,None,41.45,426,39,28,92.93,98483,57.29,58.01,78.41,752,12.73,29
China,Central,2010,Well,7.83,6.65,2.82,4.44,26.69,6.98,1412,Boiling,34.78,250,21,63,93.48,61931,87.14,81.57,63.65,2297,24.47,342
Mexico,North,2009,Pond,3.52,6.24,4.43,6.82,32.66,8.1,1221,Boiling,84.97,355,27,40,32.48,90774,98.74,60.96,94.47,2019,31.0,201
Bangladesh,West,2024,Lake,2.99,7.54,3.33,5.74,10.15,14.18,2249,Filtration,96.55,433,3,95,83.92,77039,58.41,10.6,89.75,2649,6.14,355
Indonesia,North,2004,River,5.6,7.09,3.24,7.01,45.63,19.44,2239,Filtration,60.97,243,25,25,45.3,13338,15.56,65.56,87.71,1922,23.7,304
Pakistan,South,2015,Spring,0.08,7.07,1.23,9.98,32.72,3.24,4202,Chlorination,41.28,429,22,27,66.13,74358,77.18,68.12,90.54,2313,16.9,144
Nigeria,West,2010,River,0.83,7.32,1.97,9.01,31.26,1.25,4422,Chlorination,64.79,246,47,83,34.78,85587,99.69,53.3,56.26,1458,34.48,962
USA,North,2020,Spring,1.26,6.9,3.42,3.05,45.21,3.9,643,Chlorination,57.53,72,48,47,52.57,52352,47.36,75.29,62.04,2873,37.97,212
China,East,2005,River,1.85,7.57,4.46,3.35,45.36,14.7,4452,None,56.07,283,22,65,30.79,76545,38.37,26.18,53.92,2516,27.14,680
Ethiopia,East,2008,Lake,5.12,6.08,1.58,7.27,6.78,3.89,2548,Chlorination,73.97,482,40,22,7.99,44411,55.25,42.72,79.21,1480,23.59,683
Indonesia,South,2012,Spring,9.92,8.42,1.08,7.38,7.25,11.69,4603,Boiling,42.23,194,7,38,15.66,57186,16.48,74.61,67.35,615,31.21,724
Bangladesh,West,2023,Tap,6.53,8.31,2.97,9.15,38.1,11.81,3805,Filtration,56.63,266,31,68,30.49,38150,97.13,58.3,25.58,2769,19.83,97
Indonesia,West,2007,River,0.61,8.34,0.34,7.4,47.84,5.89,4290,Boiling,90.81,403,38,20,97.67,93024,83.83,89.55,30.93,2746,2.21,354
